index	value	noise	anomCode
0	0.020816712	F	0
1	0.21714206	F	0
2	0.21381712	F	0
3	-0.18217167	F	0
4	-0.18291038	F	0
5	-0.21510276	F	0
6	-0.109918535	F	0
7	-0.08713977	F	0
8	-0.22213013	F	0
9	-0.061133545	F	0
10	-0.2988704	F	0
11	0.27236465	F	0
12	-0.16334549	F	0
13	0.20770018	F	0
14	0.22637175	F	0
15	-0.27539545	F	0
16	0.1261643	F	0
17	-0.2640866	F	0
18	0.024547705	F	0
19	-0.24836515	F	0
20	0.14153291	F	0
21	0.19583279	F	0
22	-0.11455783	F	0
23	-0.07578855	F	0
24	0.28498492	F	0
25	0.16668774	F	0
26	-0.18011439	F	0
27	-0.13411084	F	0
28	0.099491246	F	0
29	0.03906656	F	0
30	-0.2518346	F	0
31	0.08138567	F	0
32	-0.22864772	F	0
33	0.011357846	F	0
34	0.12880932	F	0
35	-0.12293801	F	0
36	-0.077130556	F	0
37	-0.028054617	F	0
38	0.12028884	F	0
39	0.11289293	F	0
40	0.12622704	F	0
41	0.006823089	F	0
42	-0.112473965	F	0
43	-0.14442511	F	0
44	-0.2515829	F	0
45	0.13694541	F	0
46	-0.24682681	F	0
47	-0.04855818	F	0
48	0.28450117	F	0
49	-0.12697324	F	0
50	0.05047092	F	0
51	0.10563308	F	0
52	-0.14728689	F	0
53	-0.12234813	F	0
54	-0.23992418	F	0
55	0.040481105	F	0
56	0.009869335	F	0
57	-0.15454216	F	0
58	-0.09241478	F	0
59	-0.2886405	F	0
60	0.29926223	F	0
61	-0.14820333	F	0
62	0.2615721	F	0
63	0.1822563	F	0
64	0.16567458	F	0
65	0.078685515	F	0
66	-0.096220605	F	0
67	0.20610993	F	0
68	0.26336324	F	0
69	-0.1959992	F	0
70	-0.056291196	F	0
71	-0.18353064	F	0
72	0.14282171	F	0
73	-0.1642299	F	0
74	0.2191751	F	0
75	0.11731305	F	0
76	-0.16915871	F	0
77	-0.011935192	F	0
78	-0.13751692	F	0
79	-0.043115	F	0
80	0.115852535	F	0
81	-0.2716057	F	0
82	0.11871971	F	0
83	-0.11082084	F	0
84	0.01673898	F	0
85	-0.021348357	F	0
86	-0.22175907	F	0
87	-0.036772277	F	0
88	-0.25172386	F	0
89	0.22255833	F	0
90	0.22976714	F	0
91	0.23562124	F	0
92	-0.099940225	F	0
93	0.16220506	F	0
94	0.053588886	F	0
95	-0.124287024	F	0
96	0.118248634	F	0
97	-0.02531725	F	0
98	-0.14378126	F	0
99	-0.07426773	F	0
100	0.120657206	F	0
101	-0.05305218	F	0
102	0.098412536	F	0
103	-0.010443627	F	0
104	0.18569556	F	0
105	0.11296284	F	0
106	0.18781802	F	0
107	-0.2458377	F	0
108	-0.065636024	F	0
109	0.0818032	F	0
110	0.09559583	F	0
111	0.2968048	F	0
112	0.27197096	F	0
113	-0.27118185	F	0
114	-0.18680713	F	0
115	-0.20126066	F	0
116	-0.22754553	F	0
117	-0.17591655	F	0
118	0.29103473	F	0
119	0.17283282	F	0
120	-0.026853196	F	0
121	-0.20671903	F	0
122	0.29523918	F	0
123	0.017677577	F	0
124	-0.19846539	F	0
125	0.24578927	F	0
126	0.08153914	F	0
127	0.03484864	F	0
128	0.27802664	F	0
129	-0.1368324	F	0
130	0.117439374	F	0
131	-0.011283363	F	0
132	0.12995256	F	0
133	-0.08163619	F	0
134	-0.11578333	F	0
135	0.24975285	F	0
136	0.01197698	F	0
137	0.291876	F	0
138	-0.14029002	F	0
139	-0.257464	F	0
140	0.05682432	F	0
141	-0.034255102	F	0
142	-0.079067826	F	0
143	-0.08130588	F	0
144	0.27767035	F	0
145	0.009653735	F	0
146	0.21237151	F	0
147	0.19278783	F	0
148	-0.09023222	F	0
149	0.22555959	F	0
150	-0.19856337	F	0
151	0.1156653	F	0
152	0.11383381	F	0
153	-0.111820176	F	0
154	-0.2131652	F	0
155	0.015092262	F	0
156	0.1674389	F	0
157	0.20830438	F	0
158	-0.061240688	F	0
159	0.10748388	F	0
160	-0.25690362	F	0
161	0.25430435	F	0
162	-0.1684026	F	0
163	-0.22266099	F	0
164	-0.08703594	F	0
165	0.09435496	F	0
166	-0.019543236	F	0
167	-0.16749954	F	0
168	-0.26997042	F	0
169	-0.13221052	F	0
170	-0.28785634	F	0
171	0.27363864	F	0
172	-0.18563788	F	0
173	0.1586496	F	0
174	-0.2106874	F	0
175	-0.13462104	F	0
176	0.12047447	F	0
177	0.22789572	F	0
178	0.1633426	F	0
179	0.16426758	F	0
180	-0.021950174	F	0
181	0.16288921	F	0
182	0.25708166	F	0
183	-0.15470764	F	0
184	0.183249	F	0
185	0.023657192	F	0
186	0.27293673	F	0
187	-0.026049335	F	0
188	-0.028475374	F	0
189	-0.19490133	F	0
190	0.18487227	F	0
191	0.09487784	F	0
192	0.12532963	F	0
193	0.09268957	F	0
194	0.10471645	F	0
195	-0.14917535	F	0
196	0.061318472	F	0
197	0.26639235	F	0
198	0.013760651	F	0
199	-0.09270529	F	0
200	-0.29839936	F	0
201	-0.19662556	F	0
202	0.01997262	F	0
203	0.23842666	F	0
204	-0.13768378	F	0
205	-0.15521172	F	0
206	-0.060769223	F	0
207	-0.07127066	F	0
208	0.19026528	F	0
209	0.12526399	F	0
210	-0.09417773	F	0
211	-0.2369486	F	0
212	-0.25546727	F	0
213	0.21591426	F	0
214	-0.10696615	F	0
215	0.013690545	F	0
216	0.15501215	F	0
217	0.002549564	F	0
218	-0.13099974	F	0
219	-0.21117932	F	0
220	0.29344213	F	0
221	-0.18955018	F	0
222	0.02606082	F	0
223	0.28043917	F	0
224	0.16503064	F	0
225	-0.20456205	F	0
226	-0.09628889	F	0
227	0.0428091	F	0
228	0.069952875	F	0
229	0.1481478	F	0
230	-0.12417805	F	0
231	0.043895807	F	0
232	-0.006030563	F	0
233	-0.09572081	F	0
234	-0.20786528	F	0
235	-0.1374304	F	0
236	-0.13387704	F	0
237	0.118279256	F	0
238	-0.04787302	F	0
239	0.25337029	F	0
240	0.16893145	F	0
241	0.24128956	F	0
242	0.046179414	F	0
243	-0.031597175	F	0
244	0.20270827	F	0
245	0.14634547	F	0
246	0.024559768	F	0
247	0.21245652	F	0
248	0.09059926	F	0
249	-0.2352865	F	0
250	0.049076654	F	0
251	-0.18728636	F	0
252	-0.03536161	F	0
253	-0.06309927	F	0
254	-0.05465888	F	0
255	-0.09156304	F	0
256	0.09558463	F	0
257	0.24026826	F	0
258	-0.09458963	F	0
259	0.10879907	F	0
260	0.020513238	F	0
261	0.032329887	F	0
262	-0.008826488	F	0
263	0.2285397	F	0
264	-0.017904162	F	0
265	-0.055284932	F	0
266	0.05817555	F	0
267	-0.108589135	F	0
268	0.22221462	F	0
269	0.17742397	F	0
270	0.25766158	F	0
271	0.09039269	F	0
272	-0.12998326	F	0
273	-0.22359951	F	0
274	0.08145901	F	0
275	-0.18856303	F	0
276	-0.06927382	F	0
277	0.22959816	F	0
278	-0.010098118	F	0
279	-0.13598183	F	0
280	-0.18350892	F	0
281	-0.012388353	F	0
282	0.007336726	F	0
283	0.11704526	F	0
284	-0.23574442	F	0
285	-0.09540459	F	0
286	0.28283608	F	0
287	0.21271168	F	0
288	0.15810606	F	0
289	0.10358934	F	0
290	-0.104418926	F	0
291	-0.07636661	F	0
292	0.014752774	F	0
293	-0.20248023	F	0
